picnum: 100, error: 0.21679706463912882
picnum: 101, error: 0.2085484485330261
picnum: 105, error: 0.2681340943797784
picnum: 108, error: 0.2773416484267908
picnum: 111, error: 0.1869712419378194
picnum: 113, error: 0.20917060494472783
picnum: 114, error: 0.22979593096667933
picnum: 115, error: 0.2112656591868075
picnum: 117, error: 0.1740159668715692
picnum: 119, error: 0.15931772905871272
picnum: 124, error: 0.17585998389680113
picnum: 125, error: 0.15893854996617165
picnum: 126, error: 0.16896541847725005
picnum: 127, error: 0.18201958934176712
picnum: 128, error: 0.2123883195713066
picnum: 129, error: 0.18025467373892998
picnum: 130, error: 0.16899252621337804
picnum: 131, error: 0.18328485462023417
picnum: 132, error: 0.1856681768962
picnum: 133, error: 0.20194988301440056
picnum: 134, error: 0.1943638768211227
picnum: 147, error: 0.18260194256816667
picnum: 148, error: 0.1930526759506948
picnum: 155, error: 0.16569595879442375
picnum: 156, error: 0.17545964171981332
picnum: 157, error: 0.17557205877282026
picnum: 158, error: 0.16258110906898687
picnum: 161, error: 0.24931208362653506
picnum: 165, error: 0.2133279148377608
picnum: 182, error: 0.18520021437693363
picnum: 62, error: 0.2002084061046113
picnum: 63, error: 0.22036685611494913
picnum: 64, error: 0.2045676502710946
picnum: 65, error: 0.1962766388149882
picnum: 66, error: 0.22764838287118588
picnum: 67, error: 0.19471183494628252
picnum: 68, error: 0.18501421201325804
picnum: 71, error: 0.18673237000004558
picnum: 74, error: 0.17809610571452061
picnum: 76, error: 0.21014346973785297
picnum: 77, error: 0.2325252064503366
picnum: 78, error: 0.19347321090191472
picnum: 79, error: 0.16281921493424967
picnum: 85, error: 0.21492972703943544
picnum: 88, error: 0.21470864388634883
picnum: 89, error: 0.20346132913246684
picnum: 90, error: 0.2216161720459091
picnum: 91, error: 0.22286172530010906
picnum: 92, error: 0.19604879230156072
picnum: 93, error: 0.19229490460851043
picnum: 95, error: 0.19367256299242314
picnum: 97, error: 0.2196505084051245
picnum: 98, error: 0.21644452158633332
picnum: 99, error: 0.18329007102566003
