picnum: 100, error: 0.23402795659915085
picnum: 101, error: 0.21485339525051309
picnum: 105, error: 0.22019647213623897
picnum: 108, error: 0.2057573124751425
picnum: 111, error: 0.24881049696736166
picnum: 113, error: 0.2036589669735353
picnum: 114, error: 0.242821468797255
picnum: 115, error: 0.19047029543117464
picnum: 117, error: 0.2039160614950807
picnum: 119, error: 0.23308938556094286
picnum: 122, error: 0.1575032441244108
picnum: 124, error: 0.1785569207326791
picnum: 125, error: 0.1720356029403487
picnum: 126, error: 0.18854217123459488
picnum: 127, error: 0.16314673212321223
picnum: 128, error: 0.20105981061479952
picnum: 129, error: 0.17115365534997795
picnum: 130, error: 0.17802403303673398
picnum: 131, error: 0.1608925438885318
picnum: 132, error: 0.17627640001249703
picnum: 133, error: 0.20991165549430396
picnum: 134, error: 0.19326417259409698
picnum: 139, error: 0.23303498802507178
picnum: 143, error: 0.1940555326767223
picnum: 147, error: 0.15516464154132448
picnum: 148, error: 0.2349782493064945
picnum: 151, error: 0.1926302624513671
picnum: 155, error: 0.17224899851566225
picnum: 156, error: 0.16029519487121313
picnum: 157, error: 0.17354669610264395
picnum: 158, error: 0.16856313661448294
picnum: 161, error: 0.21711685512451467
picnum: 165, error: 0.24801773105699534
picnum: 169, error: 0.2754773353596898
picnum: 178, error: 0.2600290072643604
picnum: 182, error: 0.18860622548618797
picnum: 188, error: 0.8754262634456407
picnum: 62, error: 0.19062490821004632
picnum: 63, error: 0.23441655900415959
picnum: 64, error: 0.23175069371200027
picnum: 65, error: 0.24243305595384335
picnum: 66, error: 0.22053972579070574
picnum: 67, error: 0.21139520374383708
picnum: 68, error: 0.23514928370158153
picnum: 70, error: 0.2101476296144549
picnum: 71, error: 0.23176382457044542
picnum: 74, error: 0.18733549408238953
picnum: 75, error: 0.21393212803147807
picnum: 76, error: 0.20191543264135414
picnum: 77, error: 0.21059249131512833
picnum: 78, error: 0.19784710855356796
picnum: 79, error: 0.1871774617728171
picnum: 85, error: 0.23586613301324508
picnum: 88, error: 0.2323227731742719
picnum: 89, error: 0.21142754582842646
picnum: 90, error: 0.20407267892975436
picnum: 91, error: 0.23997096068935608
picnum: 92, error: 0.21359896535849707
picnum: 93, error: 0.23176273520814003
picnum: 95, error: 0.17880414256764637
picnum: 97, error: 0.19306041447575117
picnum: 98, error: 0.1931993513465685
picnum: 99, error: 0.18202564691266868
