picnum: 0, error: 0.020176016628814075
picnum: 103, error: 0.030219507057926892
picnum: 105, error: 0.022219680796576213
picnum: 106, error: 0.02544668096629725
picnum: 107, error: 0.018761419932370713
picnum: 108, error: 0.018231031645203257
picnum: 109, error: 0.017359932241779074
picnum: 110, error: 0.020822040415310796
picnum: 111, error: 0.022599432282720124
picnum: 112, error: 0.02751370389657504
picnum: 113, error: 0.023237406095258258
picnum: 115, error: 0.024219745990448644
picnum: 118, error: 0.023306882536640015
picnum: 119, error: 0.024035784047760394
picnum: 121, error: 0.026097975710953507
picnum: 13, error: 0.028170550047131582
picnum: 14, error: 0.019217538752998083
picnum: 15, error: 0.03000272903784171
picnum: 18, error: 0.03581130818772077
picnum: 2, error: 0.04061999723503299
picnum: 25, error: 0.028070477150349223
picnum: 27, error: 0.026927385241632774
picnum: 3, error: 0.026622321142099455
picnum: 30, error: 0.0335334287133073
picnum: 31, error: 0.03435246971665507
picnum: 39, error: 0.02739090464160508
picnum: 43, error: 0.030276423763930565
picnum: 44, error: 0.032408028250523066
picnum: 5, error: 0.02135857747290412
picnum: 50, error: 0.026927467598277285
picnum: 51, error: 0.01988429071857869
picnum: 52, error: 0.02445583008746203
picnum: 53, error: 0.017325983157735394
picnum: 54, error: 0.031650859200844025
picnum: 55, error: 0.029421213044339773
picnum: 7, error: 0.02875575817123128
picnum: 70, error: 0.018621344167120524
picnum: 72, error: 0.034873544968329645
picnum: 74, error: 0.03131058345331062
picnum: 75, error: 0.03310193058121291
picnum: 79, error: 0.02807264804579641
picnum: 82, error: 0.04073608091792732
picnum: 84, error: 0.025837747265652515
picnum: 87, error: 0.03671197554643262
picnum: 89, error: 0.03329555808656177
